,lat,long,tipo
557,-34.606273,-58.450412,colectivo
558,-34.604585,-58.458023,colectivo
559,-34.599395,-58.435738,colectivo
560,-34.59957,-58.4383,colectivo
561,-34.601742,-58.43506800000001,colectivo
562,-34.603187,-58.433798,colectivo
563,-34.604177,-58.432925,colectivo
564,-34.604035,-58.430035,colectivo
565,-34.604197,-58.427182,colectivo
566,-34.604523,-58.424052,colectivo
567,-34.60499,-58.420322,colectivo
568,-34.605288,-58.418175,colectivo
569,-34.605682,-58.41581,colectivo
570,-34.601317,-58.47838,colectivo
571,-34.602722,-58.480897,colectivo
572,-34.604147999999995,-58.483417,colectivo
573,-34.60567,-58.48606700000001,colectivo
574,-34.607012,-58.488452,colectivo
575,-34.603203,-58.406048,colectivo
576,-34.603415000000005,-58.40195500000001,colectivo
577,-34.603307,-58.398775,colectivo
578,-34.603262,-58.39679200000001,colectivo
579,-34.606305,-58.412792,colectivo
580,-34.60072,-58.473767,colectivo
581,-34.604409999999994,-58.38368199999999,colectivo
582,-34.602815,-58.38733000000001,colectivo
583,-34.603132,-58.392185,colectivo
584,-34.603693,-58.40876,colectivo
585,-34.606513,-58.40988,colectivo
586,-34.603257,-58.44559200000001,colectivo
587,-34.604507,-58.447605,colectivo
588,-34.60499,-58.490427,colectivo
589,-34.61413,-58.374602,colectivo
590,-34.617595,-58.374412,colectivo
591,-34.619741999999995,-58.37428000000001,colectivo
592,-34.638805,-58.369453,colectivo
593,-34.600285,-58.47530500000001,colectivo
594,-34.605715000000004,-58.453723,colectivo
595,-34.633402000000004,-58.370277,colectivo
596,-34.636973,-58.36973,colectivo
597,-34.640822,-58.369138,colectivo
598,-34.643505,-58.368732,colectivo
599,-34.646753000000004,-58.36825500000001,colectivo
600,-34.629907,-58.371077,colectivo
601,-34.628003,-58.376755,colectivo
602,-34.626788,-58.372942,colectivo
603,-34.628913,-58.372112,colectivo
604,-34.608222,-58.381277,colectivo
605,-34.60054,-58.381697,colectivo
606,-34.598747,-58.381792,colectivo
607,-34.595753,-58.388102,colectivo
608,-34.595612,-58.384962,colectivo
609,-34.630642,-58.37054499999999,colectivo
610,-34.619542,-58.380757,colectivo
611,-34.614948,-58.38091,colectivo
612,-34.58059,-58.420277,colectivo
613,-34.576925,-58.41684300000001,colectivo
614,-34.5756,-58.415643,colectivo
615,-34.625987,-58.38033000000001,colectivo
616,-34.581457,-58.41834,colectivo
617,-34.5817,-58.41472,colectivo
618,-34.581877,-58.411957,colectivo
619,-34.58296,-58.40776,colectivo
620,-34.583423,-58.402837,colectivo
621,-34.59128,-58.392480000000006,colectivo
622,-34.589572,-58.394617,colectivo
623,-34.588147,-58.396345,colectivo
624,-34.586412,-58.398377,colectivo
625,-34.583997,-58.401075,colectivo
626,-34.594125,-58.390075,colectivo
